id,symbol,seqnames,strand,TSS,CAGE_representative_TSS,type
ENSG00000124915,DKFZP434K028,chr11,-,61757655,61757655,lincRNA
ENSG00000124920,MYRF,chr11,+,61752642,61752636,protein_coding
ENSG00000124935,SCGB1D2,chr11,+,62242210,62242305,protein_coding
ENSG00000124939,SCGB2A1,chr11,+,62208668,62208673,protein_coding
ENSG00000124942,AHNAK,chr11,-,62556235,62546806,protein_coding
ENSG00000125037,EMC3,chr3,-,10011116,9986837,protein_coding
ENSG00000125046,SSUH2,chr3,-,8745040,8652081,protein_coding
ENSG00000125084,WNT1,chr12,+,48978453,48978474,protein_coding
ENSG00000125089,SH3TC1,chr4,+,8182072,8199318,protein_coding
ENSG00000125107,CNOT1,chr16,-,58629886,58629826,protein_coding
ENSG00000125122,LRRC29,chr16,-,67227048,67227016,protein_coding
ENSG00000125124,BBS2,chr16,-,56520283,56520024,protein_coding
ENSG00000125144,MT1G,chr16,-,56668065,56668065,protein_coding
ENSG00000125148,MT2A,chr16,+,56608199,56608585,protein_coding
ENSG00000125149,C16orf70,chr16,+,67109958,67109943,protein_coding
ENSG00000125166,GOT2,chr16,-,58734357,58734316,protein_coding
ENSG00000125170,DOK4,chr16,-,57487327,57486473,protein_coding
ENSG00000125207,PIWIL1,chr12,+,130337887,130338091,protein_coding
ENSG00000125245,GPR18,chr13,-,99261744,99258378,protein_coding
ENSG00000125246,CLYBL,chr13,+,99606669,99606690,protein_coding
ENSG00000125247,TMTC4,chr13,-,100675093,100674795,protein_coding
ENSG00000125249,RAP2A,chr13,+,97434222,97434212,protein_coding
ENSG00000125255,SLC10A2,chr13,-,103066846,103066417,protein_coding
ENSG00000125257,ABCC4,chr13,-,95301446,95301437,protein_coding
ENSG00000125266,EFNB2,chr13,-,106535114,106535114,protein_coding
ENSG00000125285,SOX21,chr13,-,94712399,94712545,protein_coding
ENSG00000125304,TM9SF2,chr13,+,99501417,99501490,protein_coding
ENSG00000125319,C17orf53,chr17,+,44141906,44141930,protein_coding
ENSG00000125337,KIF25,chr6,+,167996241,167996241,protein_coding
ENSG00000125347,IRF1,chr5,-,132490798,132490773,protein_coding
ENSG00000125351,UPF3B,chrX,-,119852998,119852963,protein_coding
ENSG00000125354,6-Sep,chrX,-,119693370,119693159,protein_coding
ENSG00000125355,TMEM255A,chrX,-,120311556,120311433,protein_coding
ENSG00000125356,NDUFA1,chrX,+,119871487,119871851,protein_coding
ENSG00000125363,AMELX,chrX,+,11293413,11293413,protein_coding
ENSG00000125375,ATP5S,chr14,+,50312326,50312326,protein_coding
ENSG00000125378,BMP4,chr14,-,53958761,53956824,protein_coding
ENSG00000125384,PTGER2,chr14,+,52314305,52314312,protein_coding
ENSG00000125386,FAM193A,chr4,+,2625261,2625261,protein_coding
ENSG00000125388,GRK4,chr4,+,2963608,2963620,protein_coding
ENSG00000125398,SOX9,chr17,+,72121020,72121020,protein_coding
ENSG00000125409,TEKT3,chr17,-,15341641,15341597,protein_coding
ENSG00000125414,MYH2,chr17,-,10549957,10549620,protein_coding
ENSG00000125430,HS3ST3B1,chr17,+,14301083,14301081,protein_coding
ENSG00000125434,SLC25A35,chr17,-,8295343,8295400,protein_coding
ENSG00000125445,MRPS7,chr17,+,75261674,75261894,protein_coding
ENSG00000125447,GGA3,chr17,-,75262363,75261603,protein_coding
ENSG00000125449,ARMC7,chr17,+,75109952,75109971,protein_coding
ENSG00000125450,NUP85,chr17,+,75205659,75205679,protein_coding
ENSG00000125454,SLC25A19,chr17,-,75289510,75289398,protein_coding
ENSG00000125457,MIF4GD,chr17,-,75271227,75271169,protein_coding
ENSG00000125458,NT5C,chr17,-,75131795,75131742,protein_coding
ENSG00000125459,MSTO1,chr1,+,155610205,155612621,protein_coding
ENSG00000125462,C1orf61,chr1,-,156430701,156429426,protein_coding
ENSG00000125482,TTF1,chr9,-,132406851,132406834,protein_coding
ENSG00000125484,GTF3C4,chr9,+,132670035,132670489,protein_coding
ENSG00000125485,DDX31,chr9,-,132670401,132669983,protein_coding
ENSG00000125492,BARHL1,chr9,+,132582185,132582606,protein_coding
ENSG00000125498,KIR2DL1,chr19,+,54769811,54769819,protein_coding
ENSG00000125503,PPP1R12C,chr19,-,55117559,55117637,protein_coding
ENSG00000125505,MBOAT7,chr19,-,54189882,54189580,protein_coding
ENSG00000125508,SRMS,chr20,-,63547504,63547747,protein_coding
ENSG00000125510,OPRL1,chr20,+,64080173,64080111,protein_coding
ENSG00000125514,LINC00029,chr20,-,63037028,63037028,lincRNA
ENSG00000125520,SLC2A4RG,chr20,+,63739861,63739776,protein_coding
ENSG00000125522,NPBWR2,chr20,-,64107171,64107565,protein_coding
ENSG00000125531,C20orf195,chr20,+,63547891,63554176,protein_coding
ENSG00000125533,BHLHE23,chr20,-,63007035,63006964,protein_coding
ENSG00000125534,PPDPF,chr20,+,63520724,63520765,protein_coding
ENSG00000125538,IL1B,chr2,-,112836903,112836778,protein_coding
ENSG00000125551,PLGLB2,chr2,+,87748087,87748087,protein_coding
ENSG00000125571,IL37,chr2,+,112912971,112912971,protein_coding
ENSG00000125611,CHCHD5,chr2,+,112584240,112584609,protein_coding
ENSG00000125618,PAX8,chr2,-,113278950,113278921,protein_coding
ENSG00000125629,INSIG2,chr2,+,118088452,118088471,protein_coding
ENSG00000125630,POLR1B,chr2,+,112541915,112542465,protein_coding
ENSG00000125633,CCDC93,chr2,-,118014133,118014070,protein_coding
ENSG00000125637,PSD4,chr2,+,113157325,113173973,protein_coding
ENSG00000125648,SLC25A23,chr19,-,6465203,6459770,protein_coding
ENSG00000125650,PSPN,chr19,-,6379058,6379058,protein_coding
ENSG00000125651,GTF2F1,chr19,-,6393981,6393164,protein_coding
ENSG00000125652,ALKBH7,chr19,+,6372433,6372795,protein_coding
ENSG00000125656,CLPP,chr19,+,6361452,6361531,protein_coding
ENSG00000125657,TNFSF9,chr19,+,6530999,6531026,protein_coding
ENSG00000125675,GRIA3,chrX,+,123184153,123184279,protein_coding
ENSG00000125676,THOC2,chrX,-,123733056,123733046,protein_coding
ENSG00000125686,MED1,chr17,-,39451286,39451262,protein_coding
ENSG00000125691,RPL23,chr17,-,38853843,38853721,protein_coding
ENSG00000125703,ATG4C,chr1,+,62784135,62784137,protein_coding
ENSG00000125726,CD70,chr19,-,6604103,6591113,protein_coding
ENSG00000125730,C3,chr19,-,6730562,6720650,protein_coding
ENSG00000125731,SH2D3A,chr19,-,6767588,6767435,protein_coding
ENSG00000125733,TRIP10,chr19,+,6737925,6739680,protein_coding
ENSG00000125734,GPR108,chr19,-,6737603,6737580,protein_coding
ENSG00000125735,TNFSF14,chr19,-,6670588,6670160,protein_coding
ENSG00000125740,FOSB,chr19,+,45467995,45467996,protein_coding
ENSG00000125741,OPA3,chr19,-,45602212,45584802,protein_coding
ENSG00000125743,SNRPD2,chr19,-,45692569,45691949,protein_coding
ENSG00000125744,RTN2,chr19,-,45497061,45493238,protein_coding
ENSG00000125746,EML2,chr19,-,45645629,45639397,protein_coding
ENSG00000125753,VASP,chr19,+,45506579,45507487,protein_coding
ENSG00000125755,SYMPK,chr19,-,45863290,45863147,protein_coding
ENSG00000125772,GPCPD1,chr20,-,5611026,5610996,protein_coding
ENSG00000125775,SDCBP2,chr20,-,1329239,1329139,protein_coding
ENSG00000125779,PANK2,chr20,+,3888839,3889387,protein_coding
ENSG00000125780,TGM3,chr20,+,2296001,2296001,protein_coding
ENSG00000125787,GNRH2,chr20,+,3043622,3043624,protein_coding
ENSG00000125788,DEFB126,chr20,+,142369,142590,protein_coding
ENSG00000125798,FOXA2,chr20,-,22585455,22584263,protein_coding
ENSG00000125810,CD93,chr20,-,23086340,23086324,protein_coding
ENSG00000125812,GZF1,chr20,+,23362182,23362182,protein_coding
ENSG00000125813,PAX1,chr20,+,21705659,21705692,protein_coding
ENSG00000125814,NAPB,chr20,-,23421519,23421461,protein_coding
ENSG00000125815,CST8,chr20,+,23491101,23491118,protein_coding
ENSG00000125816,NKX2-4,chr20,-,21398028,21397526,protein_coding
ENSG00000125817,CENPB,chr20,-,3786690,3786740,protein_coding
ENSG00000125818,PSMF1,chr20,+,1113263,1118621,protein_coding
ENSG00000125820,NKX2-2,chr20,-,21514026,21514054,protein_coding
ENSG00000125821,DTD1,chr20,+,18567453,18588054,protein_coding
ENSG00000125823,CSTL1,chr20,+,23439685,23439685,protein_coding
ENSG00000125826,RBCK1,chr20,+,407498,408305,protein_coding
ENSG00000125827,TMX4,chr20,-,8019829,8019761,protein_coding
ENSG00000125831,CST11,chr20,-,23452857,23452876,protein_coding
ENSG00000125834,STK35,chr20,+,2101611,2102938,protein_coding
ENSG00000125835,SNRPB,chr20,-,2470853,2470787,protein_coding
ENSG00000125841,NRSN2,chr20,+,346782,347117,protein_coding
ENSG00000125843,AP5S1,chr20,+,3820524,3820556,protein_coding
ENSG00000125844,RRBP1,chr20,-,17682295,17682242,protein_coding
ENSG00000125845,BMP2,chr20,+,6767664,6767686,protein_coding
ENSG00000125846,ZNF133,chr20,+,18288283,18288527,protein_coding
ENSG00000125848,FLRT3,chr20,-,14337616,14337574,protein_coding
ENSG00000125850,OVOL2,chr20,-,18059188,18057916,protein_coding
ENSG00000125851,PCSK2,chr20,+,17226107,17227040,protein_coding
ENSG00000125861,GFRA4,chr20,-,3663399,3663399,protein_coding
ENSG00000125863,MKKS,chr20,-,10434222,10434198,protein_coding
ENSG00000125864,BFSP1,chr20,-,17569220,17558833,protein_coding
ENSG00000125868,DSTN,chr20,+,17569863,17570119,protein_coding
ENSG00000125869,LAMP5,chr20,+,9514358,9514601,protein_coding
ENSG00000125870,SNRPB2,chr20,+,16729961,16730029,protein_coding
ENSG00000125871,MGME1,chr20,+,17968913,17969100,protein_coding
ENSG00000125872,LRRN4,chr20,-,6054049,6053993,protein_coding
ENSG00000125875,TBC1D20,chr20,-,462553,462516,protein_coding
ENSG00000125877,ITPA,chr20,+,3208868,3209501,protein_coding
ENSG00000125878,TCF15,chr20,-,610398,610309,protein_coding
ENSG00000125879,OTOR,chr20,+,16748358,16748358,protein_coding
ENSG00000125885,MCM8,chr20,+,5950652,5950657,protein_coding
ENSG00000125888,BANF2,chr20,+,17693672,17699966,protein_coding
ENSG00000125895,TMEM74B,chr20,-,1185415,1185905,protein_coding
ENSG00000125898,FAM110A,chr20,+,833715,833768,protein_coding
ENSG00000125899,C20orf187,chr20,+,11027760,11027760,lincRNA
ENSG00000125900,SIRPD,chr20,-,1558843,1557701,protein_coding
ENSG00000125901,MRPS26,chr20,+,3045945,3046052,protein_coding
ENSG00000125903,DEFB129,chr20,+,227258,227258,protein_coding
ENSG00000125910,S1PR4,chr19,+,3172346,3178772,protein_coding
ENSG00000125912,NCLN,chr19,+,3185563,3185931,protein_coding
ENSG00000125931,CITED1,chrX,-,72307187,72305914,protein_coding
ENSG00000125944,HNRNPR,chr1,-,23344336,23344281,protein_coding
ENSG00000125945,ZNF436,chr1,-,23369442,23368335,protein_coding
ENSG00000125952,MAX,chr14,-,65102695,65102517,protein_coding
ENSG00000125962,ARMCX5,chrX,+,102599168,102599526,protein_coding
ENSG00000125965,GDF5,chr20,-,35454746,35438228,protein_coding
ENSG00000125966,MMP24,chr20,+,35226654,35226690,protein_coding
ENSG00000125967,NECAB3,chr20,-,33674463,33674428,protein_coding
ENSG00000125968,ID1,chr20,+,31605283,31605289,protein_coding
ENSG00000125970,RALY,chr20,+,33993646,33993911,protein_coding
ENSG00000125971,DYNLRB1,chr20,+,34516409,34516422,protein_coding
ENSG00000125975,C20orf173,chr20,-,35529652,35529649,protein_coding
ENSG00000125977,EIF2S2,chr20,-,34112332,34112214,protein_coding
ENSG00000125991,ERGIC3,chr20,+,35542021,35542079,protein_coding
ENSG00000125995,ROMO1,chr20,+,35699272,35699423,protein_coding
ENSG00000125998,FAM83C,chr20,-,35292401,35292425,protein_coding
ENSG00000125999,BPIFB1,chr20,+,33273480,33283214,protein_coding
ENSG00000126001,CEP250,chr20,+,35455164,35455175,protein_coding
ENSG00000126003,PLAGL2,chr20,-,32207791,32207738,protein_coding
ENSG00000126005,MMP24-AS1,chr20,-,35278131,35278122,protein_coding
ENSG00000126010,GRPR,chrX,+,16123556,16123565,protein_coding
ENSG00000126012,KDM5C,chrX,-,53225422,53225207,protein_coding
ENSG00000126016,AMOT,chrX,-,112840815,112840830,protein_coding
ENSG00000126062,TMEM115,chr3,-,50359610,50359521,protein_coding
ENSG00000126067,PSMB2,chr1,-,35641844,35641519,protein_coding
ENSG00000126070,AGO3,chr1,+,35930718,35931105,protein_coding
ENSG00000126088,UROD,chr1,+,45012147,45012254,protein_coding
ENSG00000126091,ST3GAL3,chr1,+,43705824,43707536,protein_coding
ENSG00000126106,TMEM53,chr1,-,44674555,44674433,protein_coding
ENSG00000126107,HECTD3,chr1,-,45011329,45011324,protein_coding
ENSG00000126214,KLC1,chr14,+,103561896,103629211,protein_coding
ENSG00000126215,XRCC3,chr14,-,103715504,103715451,protein_coding
ENSG00000126216,TUBGCP3,chr13,-,112588167,112588151,protein_coding
ENSG00000126217,MCF2L,chr13,+,112894378,113044646,protein_coding
ENSG00000126218,F10,chr13,+,113122814,113122838,protein_coding
ENSG00000126226,PCID2,chr13,-,113208715,113208650,protein_coding
ENSG00000126231,PROZ,chr13,+,113158654,113158648,protein_coding
ENSG00000126233,SLURP1,chr8,-,142742411,142742406,protein_coding
ENSG00000126243,LRFN3,chr19,+,35935358,35936658,protein_coding
ENSG00000126246,IGFLR1,chr19,-,35742453,35742449,protein_coding
ENSG00000126247,CAPNS1,chr19,+,36139575,36140120,protein_coding
ENSG00000126249,PDCD2L,chr19,+,34404384,34404412,protein_coding
ENSG00000126251,GPR42,chr19,+,35370929,35370929,protein_coding
ENSG00000126254,RBM42,chr19,+,35629030,35629036,protein_coding
ENSG00000126259,KIRREL2,chr19,+,35855861,35856944,protein_coding
ENSG00000126261,UBA2,chr19,+,34428352,34428392,protein_coding
ENSG00000126262,FFAR2,chr19,+,35443907,35448257,protein_coding
ENSG00000126264,HCST,chr19,+,35902480,35902529,protein_coding
ENSG00000126266,FFAR1,chr19,+,35351552,35351552,protein_coding
ENSG00000126267,COX6B1,chr19,+,35648223,35648337,protein_coding
ENSG00000126337,KRT36,chr17,-,41492546,41489910,protein_coding
ENSG00000126351,THRA,chr17,+,40058290,40062965,protein_coding
ENSG00000126353,CCR7,chr17,-,40565472,40565472,protein_coding
ENSG00000126368,NR1D1,chr17,-,40100725,40100579,protein_coding
ENSG00000126391,FRMD8,chr11,+,65386599,65386637,protein_coding
ENSG00000126432,PRDX5,chr11,+,64318088,64318161,protein_coding
ENSG00000126453,BCL2L12,chr19,+,49665142,49665995,protein_coding
ENSG00000126456,IRF3,chr19,-,49665875,49665857,protein_coding
ENSG00000126457,PRMT1,chr19,+,49675786,49677271,protein_coding
ENSG00000126458,RRAS,chr19,-,49640201,49640121,protein_coding
ENSG00000126460,PRRG2,chr19,+,49580646,49581334,protein_coding
ENSG00000126461,SCAF1,chr19,+,49642125,49642217,protein_coding
ENSG00000126464,PRR12,chr19,+,49591643,49591186,protein_coding
ENSG00000126467,TSKS,chr19,-,49763330,49763306,protein_coding
ENSG00000126500,FLRT1,chr11,+,64103188,64103188,protein_coding
ENSG00000126522,ASL,chr7,+,66075798,66075819,protein_coding
ENSG00000126524,SBDS,chr7,-,66995601,66995586,protein_coding
ENSG00000126545,CSN1S1,chr4,+,69931081,69931068,protein_coding
ENSG00000126549,STATH,chr4,+,69995930,69995966,protein_coding
ENSG00000126550,HTN1,chr4,+,70050402,70050438,protein_coding
ENSG00000126561,STAT5A,chr17,+,42287547,42288498,protein_coding
ENSG00000126562,WNK4,chr17,+,42780678,42780615,protein_coding
ENSG00000126581,BECN1,chr17,-,42833350,42824281,protein_coding
ENSG00000126583,PRKCG,chr19,+,53879190,53882199,protein_coding
ENSG00000126602,TRAP1,chr16,-,3717597,3717524,protein_coding
ENSG00000126603,GLIS2,chr16,+,4314761,4314761,protein_coding
ENSG00000126653,NSRP1,chr17,+,30115521,30116829,protein_coding
ENSG00000126698,DNAJC8,chr1,-,28233025,28233029,protein_coding
ENSG00000126705,AHDC1,chr1,-,27604431,27604144,protein_coding
ENSG00000126709,IFI6,chr1,-,27672218,27672192,protein_coding
ENSG00000126733,DACH2,chrX,+,86148458,86148451,protein_coding
ENSG00000126746,ZNF384,chr12,-,6689572,6689326,protein_coding
ENSG00000126749,EMG1,chr12,+,6970893,6970913,protein_coding
ENSG00000126752,SSX1,chrX,+,48255317,48255392,protein_coding
ENSG00000126756,UXT,chrX,-,47659161,47659137,protein_coding
ENSG00000126759,CFP,chrX,-,47630305,47629895,protein_coding
ENSG00000126767,ELK1,chrX,-,47650604,47650561,protein_coding
ENSG00000126768,TIMM17B,chrX,-,48898143,48897768,protein_coding
ENSG00000126773,PCNXL4,chr14,+,60091911,60091993,protein_coding
ENSG00000126775,ATG14,chr14,-,55411858,55411830,protein_coding
ENSG00000126777,KTN1,chr14,+,55559072,55580242,protein_coding
ENSG00000126778,SIX1,chr14,-,60658259,60649476,protein_coding
ENSG00000126785,RHOJ,chr14,+,63204114,63204443,protein_coding
ENSG00000126787,DLGAP5,chr14,-,55191678,55191585,protein_coding
ENSG00000126790,L3HYPDH,chr14,-,59484430,59484381,protein_coding
ENSG00000126803,HSPA2,chr14,+,64535905,64540741,protein_coding
ENSG00000126804,ZBTB1,chr14,+,64503712,64504770,protein_coding
ENSG00000126814,TRMT5,chr14,-,60981358,60981060,protein_coding
ENSG00000126821,SGPP1,chr14,-,63728039,63728055,protein_coding
ENSG00000126822,PLEKHG3,chr14,+,64704102,64704463,protein_coding
ENSG00000126838,PZP,chr12,-,9208370,9208395,protein_coding
ENSG00000126856,PRDM7,chr16,-,90092072,90092072,protein_coding
ENSG00000126858,RHOT1,chr17,+,32142454,32142502,protein_coding
ENSG00000126860,EVI2A,chr17,-,31321884,31321614,protein_coding
ENSG00000126861,OMG,chr17,-,31297539,31297278,protein_coding
ENSG00000126870,WDR60,chr7,+,158856578,158856605,protein_coding
ENSG00000126878,AIF1L,chr9,+,131096476,131096531,protein_coding
ENSG00000126882,FAM78A,chr9,-,131276547,131277063,protein_coding
ENSG00000126883,NUP214,chr9,+,131125561,131125586,protein_coding
ENSG00000126890,CTAG2,chrX,-,154653579,154653579,protein_coding
ENSG00000126895,AVPR2,chrX,+,153902531,153902531,protein_coding
ENSG00000126903,SLC10A3,chrX,-,154490690,154490629,protein_coding
ENSG00000126934,MAP2K2,chr19,-,4124129,4124122,protein_coding
ENSG00000126945,HNRNPH2,chrX,+,101408295,101408222,protein_coding
ENSG00000126947,ARMCX1,chrX,+,101550531,101550550,protein_coding
ENSG00000126950,TMEM35,chrX,+,101078720,101078879,protein_coding
ENSG00000126952,NXF5,chrX,-,101857577,101857577,protein_coding
ENSG00000126953,TIMM8A,chrX,-,101349196,101348690,protein_coding
ENSG00000126970,ZC4H2,chrX,-,65034713,64976450,protein_coding
ENSG00000127022,CANX,chr5,+,179678628,179698982,protein_coding
ENSG00000127054,CPSF3L,chr1,-,1324691,1324660,protein_coding
ENSG00000127074,RGS13,chr1,+,192636138,192636158,protein_coding
ENSG00000127080,IPPK,chr9,-,92670265,92670096,protein_coding
ENSG00000127081,ZNF484,chr9,-,92878038,92878038,protein_coding
ENSG00000127083,OMD,chr9,-,92424461,92424323,protein_coding
ENSG00000127084,FGD3,chr9,+,92947451,92964322,protein_coding
ENSG00000127124,HIVEP3,chr1,-,42035925,42035926,protein_coding
ENSG00000127125,PPCS,chr1,+,42456117,42456543,protein_coding
ENSG00000127129,EDN2,chr1,-,41484673,41484683,protein_coding
ENSG00000127152,BCL11B,chr14,-,99271524,99271816,protein_coding
ENSG00000127184,COX7C,chr5,+,86617904,86617941,protein_coding
ENSG00000127191,TRAF2,chr9,+,136881912,136886516,protein_coding
ENSG00000127220,ABHD8,chr19,-,17310236,17303399,protein_coding
ENSG00000127241,MASP1,chr3,-,187292022,187291700,protein_coding
ENSG00000127249,ATP13A4,chr3,-,193593111,193593111,protein_coding
ENSG00000127252,HRASLS,chr3,+,193241125,193241246,protein_coding
ENSG00000127311,HELB,chr12,+,66302545,66302526,protein_coding
ENSG00000127314,RAP1B,chr12,+,68610839,68610899,protein_coding
ENSG00000127318,IL22,chr12,-,68253607,68253607,protein_coding
ENSG00000127324,TSPAN8,chr12,-,71441898,71157804,protein_coding
ENSG00000127325,BEST3,chr12,-,69699476,69699303,protein_coding
ENSG00000127328,RAB3IP,chr12,+,69738681,69738897,protein_coding
ENSG00000127329,PTPRB,chr12,-,70637440,70637422,protein_coding
ENSG00000127334,DYRK2,chr12,+,67648338,67648760,protein_coding
ENSG00000127337,YEATS4,chr12,+,69359703,69359751,protein_coding
ENSG00000127362,TAS2R3,chr7,+,141764097,141764097,protein_coding
ENSG00000127364,TAS2R4,chr7,+,141778442,141778442,protein_coding
ENSG00000127366,TAS2R5,chr7,+,141790217,141790217,protein_coding
ENSG00000127377,CRYGN,chr7,-,151440813,151440813,protein_coding
ENSG00000127399,LRRC61,chr7,+,150322639,150323355,protein_coding
ENSG00000127412,TRPV5,chr7,-,142933808,142933746,protein_coding
ENSG00000127415,IDUA,chr4,+,986997,987044,protein_coding
ENSG00000127418,FGFRL1,chr4,+,1009936,1011635,protein_coding
ENSG00000127419,TMEM175,chr4,+,932387,932460,protein_coding
ENSG00000127423,AUNIP,chr1,-,25859458,25859386,protein_coding
ENSG00000127445,PIN1,chr19,+,9835257,9835335,protein_coding
ENSG00000127452,FBXL12,chr19,-,9827816,9819078,protein_coding
ENSG00000127463,EMC1,chr1,-,19251552,19251524,protein_coding
ENSG00000127472,PLA2G5,chr1,+,20028179,20070194,protein_coding
ENSG00000127481,UBR4,chr1,-,19210276,19210260,protein_coding
ENSG00000127483,HP1BP3,chr1,-,20787323,20787307,protein_coding
ENSG00000127507,ADGRE2,chr19,-,14778541,14776841,protein_coding
ENSG00000127511,SIN3B,chr19,+,16829400,16829398,protein_coding
ENSG00000127515,OR7A10,chr19,-,14841877,14841877,protein_coding
ENSG00000127526,SLC35E1,chr19,-,16572382,16572408,protein_coding
ENSG00000127527,EPS15L1,chr19,-,16472085,16471970,protein_coding
ENSG00000127528,KLF2,chr19,+,16324817,16324826,protein_coding
ENSG00000127529,OR7C2,chr19,+,14941489,14941489,protein_coding
ENSG00000127530,OR7C1,chr19,-,14800211,14800211,protein_coding
ENSG00000127533,F2RL3,chr19,+,16888860,16888999,protein_coding
ENSG00000127540,UQCR11,chr19,-,1605490,1605462,protein_coding
ENSG00000127554,GFER,chr16,+,1984207,1984205,protein_coding
ENSG00000127561,SYNGR3,chr16,+,1989660,1989971,protein_coding
ENSG00000127564,PKMYT1,chr16,-,2980539,2980444,protein_coding
ENSG00000127578,WFIKKN1,chr16,+,629239,630985,protein_coding
ENSG00000127580,WDR24,chr16,-,690444,690398,protein_coding
ENSG00000127585,FBXL16,chr16,-,705829,705752,protein_coding
ENSG00000127586,CHTF18,chr16,+,788046,788651,protein_coding
ENSG00000127588,GNG13,chr16,-,800733,800734,protein_coding
ENSG00000127603,MACF1,chr1,+,39081316,39105399,protein_coding
ENSG00000127616,SMARCA4,chr19,+,10961001,10961030,protein_coding
ENSG00000127663,KDM4B,chr19,+,4969113,4969114,protein_coding
ENSG00000127666,TICAM1,chr19,-,4831704,4831712,protein_coding
ENSG00000127720,METTL25,chr12,+,82358497,82358529,protein_coding
ENSG00000127743,IL17B,chr5,-,149404202,149379292,protein_coding
ENSG00000127774,EMC6,chr17,+,3668815,3668812,protein_coding
ENSG00000127780,OR1E2,chr17,-,3433841,3433841,protein_coding
ENSG00000127804,METTL16,chr17,-,2511891,2511888,protein_coding
ENSG00000127824,TUBA4A,chr2,-,219278170,219253918,protein_coding
ENSG00000127831,VIL1,chr2,+,218419092,218419123,protein_coding
ENSG00000127837,AAMP,chr2,-,218270257,218270137,protein_coding
ENSG00000127838,PNKD,chr2,+,218270392,218270525,protein_coding
ENSG00000127863,TNFRSF19,chr13,+,23570370,23579383,protein_coding
ENSG00000127870,RNF6,chr13,-,26222493,26222314,protein_coding
ENSG00000127884,ECHS1,chr10,-,133373689,133373341,protein_coding
ENSG00000127903,ZNF835,chr19,-,56671783,56671757,protein_coding
ENSG00000127914,AKAP9,chr7,+,91940867,91940868,protein_coding
ENSG00000127920,GNG11,chr7,+,93921699,93922054,protein_coding
ENSG00000127922,SHFM1,chr7,-,96709891,96709846,protein_coding
ENSG00000127928,GNGT1,chr7,+,93591573,93906567,protein_coding
ENSG00000127946,HIP1,chr7,-,75738962,75738941,protein_coding
ENSG00000127947,PTPN12,chr7,+,77537275,77537303,protein_coding
ENSG00000127948,POR,chr7,+,75899200,75915157,protein_coding
ENSG00000127951,FGL2,chr7,-,77199826,77199817,protein_coding
ENSG00000127952,STYXL1,chr7,-,76048004,76048000,protein_coding
ENSG00000127954,STEAP4,chr7,-,88306891,88306894,protein_coding
ENSG00000127955,GNAI1,chr7,+,80133955,80134850,protein_coding
ENSG00000127980,PEX1,chr7,-,92528531,92528454,protein_coding
ENSG00000127989,MTERF1,chr7,-,91880720,91880702,protein_coding
ENSG00000127990,SGCE,chr7,-,94656209,94656123,protein_coding
ENSG00000127993,RBM48,chr7,+,92528773,92528807,protein_coding
ENSG00000127995,CASD1,chr7,+,94509219,94509847,protein_coding
ENSG00000128000,ZNF780B,chr19,-,40056209,40056217,protein_coding
ENSG00000128011,LRFN1,chr19,-,39315336,39315336,protein_coding
ENSG00000128016,ZFP36,chr19,+,39406813,39406847,protein_coding
ENSG00000128039,SRD5A3,chr4,+,55346109,55346268,protein_coding
ENSG00000128040,SPINK2,chr4,-,56821742,56821701,protein_coding
ENSG00000128045,RASL11B,chr4,+,52862290,52862317,protein_coding
ENSG00000128050,PAICS,chr4,+,56435741,56436260,protein_coding
ENSG00000128052,KDR,chr4,-,55125589,55125595,protein_coding
ENSG00000128059,PPAT,chr4,-,56435615,56435612,protein_coding
ENSG00000128159,TUBGCP6,chr22,-,50244992,50244999,protein_coding
ENSG00000128165,ADM2,chr22,+,50481556,50481543,protein_coding
ENSG00000128185,DGCR6L,chr22,-,20320080,20320023,protein_coding
ENSG00000128191,DGCR8,chr22,+,20080232,20080241,protein_coding
ENSG00000128203,ASPHD2,chr22,+,26429273,26429298,protein_coding
ENSG00000128218,VPREB3,chr22,-,23754468,23754424,protein_coding
ENSG00000128228,SDF2L1,chr22,+,21642261,21642320,protein_coding
ENSG00000128242,GAL3ST1,chr22,-,30574587,30564901,protein_coding
ENSG00000128245,YWHAH,chr22,+,31944461,31944535,protein_coding
ENSG00000128250,RFPL1,chr22,+,29438583,29438583,protein_coding
ENSG00000128253,RFPL2,chr22,-,32203477,32203477,protein_coding
ENSG00000128266,GNAZ,chr22,+,23070361,23070546,protein_coding
ENSG00000128268,MGAT3,chr22,+,39457344,39457040,protein_coding
ENSG00000128271,ADORA2A,chr22,+,24417879,24423932,protein_coding
ENSG00000128272,ATF4,chr22,+,39519695,39520569,protein_coding
ENSG00000128274,A4GALT,chr22,-,42721298,42720870,protein_coding
ENSG00000128276,RFPL3,chr22,+,32354885,32354885,protein_coding
ENSG00000128283,CDC42EP1,chr22,+,37560447,37560482,protein_coding
ENSG00000128284,APOL3,chr22,-,36166177,36160755,protein_coding
ENSG00000128285,MCHR1,chr22,+,40678750,40679484,protein_coding
ENSG00000128294,TPST2,chr22,-,26596717,26590103,protein_coding
ENSG00000128298,BAIAP2L2,chr22,-,38110670,38088977,protein_coding
ENSG00000128309,MPST,chr22,+,37019635,37019742,protein_coding
ENSG00000128310,GALR3,chr22,+,37823382,37823382,protein_coding
ENSG00000128311,TST,chr22,-,37020183,37019446,protein_coding
